oblast_or_country;pcode;gid_1;# total population ;# female population ;# male population ;# female younger population (0 - 14 years);# male younger population (0 - 14 years);# total younger population (0 - 14 years);# female older population (60 years and up);# male older population (60 years and up);# total older population (60 years and up);# people displaced;# outgoing refugees since February 2022;# registered IDPs;# people moving back;# people exposed;# people affected;# people in need ;# people in level 1 humanitarian condition;# people in level 2 humanitarian condition;# people in level 3 humanitarian condition;# people in level 4 humanitarian condition;# people in level 5 humanitarian condition;# km² landmass affected;# km² controlled by Ukrainian authorities/forces;# km² controlled by Russian forces;# km² unconfirmed control;# battles;# explosions/remote violence;# violence against civilians;# fatalities;# civilian fatalities;# civilian injuries;# total infrastructure damage;# USD cost of damage;# total access events;# PIN food security and livelihoods;# PIN shelter and NFIs;# PIN CCCM;# PIN WASH;# PIN health;# PIN protection;# PIN child protection;# PIN gender-based violence;# PIN education;# PIN mine action;# PIN cash assistance;# USD GDP per capita;poverty rate;% inflation rate ;# unemployed people;Consumer price index;% variation in raw food prices;% variation in administered prices;% variation in fuel prices;# USD cost of reconstruction and recovery;# EUR currency value;# USD currency value;# USD in minimum wage;# USD in minimum pension;# USD in living wage;period
Kyivska;UA32;UKR.12_1;2700000;969870;819430;153069;163542;316611;253461;137057;390518;;;253803.0;581000.0;2700000;1152992.0;738023.0;1335033.0;414968.9227;933794.0;0;0;28132;28132;0;0;0;8;0;0;2290.0;734.0;27;;11;;;;;;;;;;;;;;;4245.0;;;;;;;;;;;Apr2025
Luhanska;UA44;UKR.15_1;532000;1136515;961809;91298;98018;189316;436762;256423;693185;;;;;532000;467304.0;339253.0;389.0;128051.12;245748.0;33047;252816;26688;323;26287;78;50;16;0;5;725.0;971.0;0;;58;;;;;;;;;;;;;;;1344.0;;;;;;;;;;;Apr2025
Lvivska;UA46;UKR.14_1;2400000;1294772;1164991;192773;203584;396357;343762;206012;549774;;;205918.0;85000.0;2400000;649824.0;417346.0;1611476.0;232477.6065;725016.0;0;0;21824;21824;0;0;0;0;0;0;4.0;16.0;0;;2;;;;;;;;;;;;;;;3849.0;;;;;;;;;;;Apr2025
Mykolaivska;UA48;UKR.16_1;643000;584957;506149;79731;85170;164901;170974;95197;266171;;;112294.0;265000.0;643000;550010.0;545163.0;118085.0;4847.080886;77302.0;62381;379753;24016;23886;119;11;0;19;0;0;490.0;1281.0;11;;7;;;;;;;;;;;;;;;5202.0;;;;;;;;;;;Apr2025
Odeska;UA51;UKR.17_1;2100000;1237452;1102880;189998;203812;393810;333832;194370;528202;;;178967.0;186000.0;2100000;1372598.0;942736.0;596342.0;429861.8174;1127340.0;0;0;33348;33348;0;0;0;10;0;0;34.0;92.0;26;;5;;;;;;;;;;;;;;;5311.0;;;;;;;;;;;Apr2025
Poltavska;UA53;UKR.18_1;1400000;722656;621789;91171;97568;188739;219156;120834;339990;;;161708.0;55000.0;1400000;558861.0;366696.0;996582.0;192165.114;353582.0;0;0;28723;28723;0;0;0;6;0;0;24.0;119.0;8;;5;;;;;;;;;;;;;;;6551.0;;;;;;;;;;;Apr2025
Rivnenska;UA56;UKR.19_1;938000;598625;542099;111755;117385;229140;138715;81699;220414;;;43793.0;38000.0;938000;168921.0;113107.0;776506.0;55814.14683;123594.0;0;0;20053;20053;0;0;0;1;0;0;4.0;13.0;0;;3;;;;;;;;;;;;;;;4551.0;;;;;;;;;;;Apr2025
Sevastopol;UA85;UKR.20_1;393455;214172;179283;32884;34455;67339;64229;32884;97113;;;;;393455;;;;;;0;0;57;0;57;0;0;0;0;0;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;Apr2025
Sumska;UA59;UKR.21_1;858000;558993;474587;64296;68282;132578;177893;100633;278526;;;89474.0;117000.0;858000;695803.0;588793.0;110434.0;107009.8694;638419.0;64851;0;23842;23842;0;0;47;894;0;222;160.0;209.0;93;;22;;;;;;;;;;;;;;;4402.0;;;;;;;;;;;Apr2025
Ternopilska;UA61;UKR.22_1;763000;541302;477160;76461;80396;156857;147742;86344;234086;;;64755.0;33000.0;763000;224430.0;191598.0;582609.0;32831.54403;144978.0;0;0;13833;13833;0;0;0;0;0;0;0.0;0.0;0;;1;;;;;;;;;;;;;;;2146.0;;;;;;;;;;;Apr2025
